,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
336,22-10-22,Kia,Cerato,Benzene,automatic,Dark red,2011,229,220
337,22-10-22,Nissan,Sunny,Benzene,automatic,Dark red,2012,400,140
338,22-10-22,Skoda,Octavia A7,Benzene,automatic,White,2015,90,600
339,22-10-22,DFSK,Glory 330,Benzene,manual,Red,2018,195,250
340,22-10-22,Renault,Logan,natural gas,manual,Black,2010,263,115
341,22-10-22,Nissan,Qashqai,Benzene,automatic,Beige,2013,115,250
342,22-10-22,Mercedes,C 200,Benzene,automatic,Blue,2002,200,240
343,22-10-22,Mitsubishi,Lancer,Benzene,manual,Black,1996,1.999,88
344,22-10-22,Daewoo,Lacetti,Benzene,automatic,Silver,2006,197,111.111
345,22-10-22,Volkswagen,Caddy,Benzene,manual,Silver,2007,340,210
346,22-10-22,Byd,F3,Benzene,manual,Blue,2020,50,240
347,22-10-22,Jeep,Grand Cherokee,Benzene,automatic,Gray,2018,38,1500
348,22-10-22,Jac,S2,Benzene,automatic,White,2017,72,230
349,22-10-22,Chevrolet,Optra,Benzene,automatic,Dark blue,2017,45,300
350,22-10-22,Renault,Sandero Step Way,Benzene,manual,Silver,2013,99,165
351,22-10-22,Peugeot,508,Benzene,automatic,Dark blue,2021,20,950
352,22-10-22,Hyundai,Accent,Benzene,automatic,Blue,2009,250,175
353,22-10-22,Ford,Kuga,Benzene,automatic,Silver,2017,120,700
354,22-10-22,Suzuki,S Presso,Benzene,manual,Gray,2022,28,210
355,22-10-22,Hyundai,Elantra,Benzene,automatic,Eggplant,2007,140,225
356,22-10-22,Peugeot,307,Benzene,automatic,Black,2007,450,150
357,22-10-22,Hyundai,Elantra MD,Benzene,automatic,Brown,2016,88,410
358,22-10-22,BMW,316,Benzene,automatic,White,2011,145,305
359,22-10-22,Renault,Logan,Benzene,manual,Black,2015,256.837,130
